id,year,title,subtitle,description,description_two,place,location,category,created_at,updated_at
3,1986,Installation Gallery,,,,,"San Diego, Ca.",group,2019-03-24 00:27:06,2019-03-24 00:27:06
4,1987,Installation Gallery,,,,,"San Diego, Ca.",group,2019-03-24 00:27:29,2019-03-24 00:27:29
5,1989,Brushworks,Landscapes,,,,"San Diego, Ca.",group,2019-03-24 00:27:59,2019-03-24 00:27:59
6,1990,Brushworks ,Landscapes,,,,"San Diego, Ca.",group,2019-03-24 00:29:41,2019-03-24 00:29:41
7,1994,Schwarcstein Galería	,,,,,Mexico City,group,2019-03-24 00:30:16,2019-03-24 00:30:16
8,1995,Talento Arte Visual ,Renacimiento,,,,Mexico City,group,2019-03-24 00:30:46,2019-03-24 00:30:46
9,1995,El Museo Histórico de Acapulco Fuerte de San Diego ,,,,,"San Diego, Ca.",group,2019-03-24 00:31:06,2019-03-24 00:31:06
10,1995,Gran Subasta de Arte,,,,La Galería 10/10 ,Mexico City,group,2019-03-24 00:32:46,2019-03-24 00:32:46
11,1997,Museo U. Contemporáneo de Arte ,Los Colores del Pensamiento de Frontera a Frontera,,,,Mexico City,group,2019-03-24 00:33:27,2019-03-24 00:33:27
12,1998,Mayo Galería de Arte	,,,,,"Lima, Perú",group,2019-03-24 00:33:52,2019-03-24 00:33:52
13,2001,Galería Marie Jane Garoche	,,,,,"Paris, France",group,2019-03-24 00:35:21,2019-03-24 00:35:21
14,2002,Subasta de Arte 2002,,,,Museo Franz Mayer,Mexico City,group,2019-03-24 00:36:05,2019-03-24 00:36:05
15,2002,Galería de Arte Contemporáneo,,,,,"Monterrey, México",group,2019-03-24 00:36:24,2019-03-24 00:36:24
16,2002,Mana Cultura Internacional ,El color de México,,,,"Malinalco, México",group,2019-03-24 00:36:51,2019-03-24 00:36:51
17,2002,"Galerie D'Art International",,,,,"San Diego, Ca.",group,2019-03-24 00:37:09,2019-03-24 00:37:09
19,2004,Galería de Arte Contemporaneo Mercedes Canalizo,,,,,Mexico City,group,2019-03-24 00:37:48,2019-03-24 00:37:48
